start_time,trip_count
"1/24/2015 8",17
"1/24/2015 9",17
"1/25/2014 0",5
"1/25/2014 1",8
"1/25/2014 10",30
"1/25/2014 11",45
"1/25/2014 12",47
"1/25/2014 13",46
"1/25/2014 14",42
"1/25/2014 15",36
"1/25/2014 16",34
"1/25/2014 17",27
"1/25/2014 18",16
"1/25/2014 19",11
"1/25/2014 2",4
"1/25/2014 20",24
"1/25/2014 21",7
"1/25/2014 22",8
"1/25/2014 23",10
"1/25/2014 5",1
"1/25/2014 6",2
"1/25/2014 7",4
"1/25/2014 8",14
"1/25/2014 9",23
"1/25/2015 0",4
"1/25/2015 1",2
"1/25/2015 10",11
"1/25/2015 11",23
"1/25/2015 12",21
"1/25/2015 13",38
"1/25/2015 14",24
"1/25/2015 15",37
"1/25/2015 16",29
"1/25/2015 17",19
"1/25/2015 18",8
"1/25/2015 19",5
"1/25/2015 20",3
"1/25/2015 21",7
"1/25/2015 22",2
"1/25/2015 23",1
"1/25/2015 5",1
"1/25/2015 6",3
"1/25/2015 7",4
"1/25/2015 8",2
"1/25/2015 9",15
"1/26/2014 0",6
"1/26/2014 1",2
"1/26/2014 10",32
"1/26/2014 11",49
"1/26/2014 12",49
"1/26/2014 13",47
"1/26/2014 14",37
"1/26/2014 15",32
"1/26/2014 16",28
"1/26/2014 17",22
"1/26/2014 18",14
"1/26/2014 19",10
"1/26/2014 2",4
"1/26/2014 20",10
"1/26/2014 21",9
"1/26/2014 22",2
"1/26/2014 23",2
"1/26/2014 3",1
"1/26/2014 4",1
"1/26/2014 6",1
"1/26/2014 7",4
"1/26/2014 8",9
"1/26/2014 9",19
"1/26/2015 0",2
"1/26/2015 10",40
"1/26/2015 11",26
"1/26/2015 12",33
"1/26/2015 13",31
"1/26/2015 14",27
"1/26/2015 15",49
"1/26/2015 16",110
"1/26/2015 17",204
"1/26/2015 18",126
"1/26/2015 19",58
"1/26/2015 20",23
"1/26/2015 21",22
"1/26/2015 22",9
"1/26/2015 23",8
"1/26/2015 5",10
"1/26/2015 6",33
"1/26/2015 7",97
"1/26/2015 8",199
"1/26/2015 9",142
"1/27/2014 0",2
"1/27/2014 10",41
"1/27/2014 11",32
"1/27/2014 12",34
"1/27/2014 13",40
"1/27/2014 14",27
"1/27/2014 15",26
"1/27/2014 16",85
"1/27/2014 17",128
"1/27/2014 18",99
"1/27/2014 19",39
"1/27/2014 20",30
"1/27/2014 21",15
"1/27/2014 22",7
"1/27/2014 23",1
"1/27/2014 5",8
"1/27/2014 6",26
"1/27/2014 7",74
"1/27/2014 8",149
"1/27/2014 9",96
"1/27/2015 0",3
"1/27/2015 10",49
"1/27/2015 11",31
"1/27/2015 12",67
"1/27/2015 13",35
"1/27/2015 14",28
"1/27/2015 15",55
"1/27/2015 16",96
"1/27/2015 17",176
"1/27/2015 18",129
"1/27/2015 19",51
"1/27/2015 20",33
"1/27/2015 21",18
"1/27/2015 22",9
"1/27/2015 23",7
"1/27/2015 4",3
"1/27/2015 5",13
"1/27/2015 6",34
"1/27/2015 7",88
"1/27/2015 8",201
"1/27/2015 9",134
"1/28/2014 0",1
"1/28/2014 1",1
"1/28/2014 10",45
"1/28/2014 11",37
"1/28/2014 12",46
"1/28/2014 13",40
"1/28/2014 14",30
"1/28/2014 15",40
"1/28/2014 16",89
"1/28/2014 17",130
"1/28/2014 18",90
"1/28/2014 19",43
"1/28/2014 2",1
"1/28/2014 20",29
"1/28/2014 21",17
"1/28/2014 22",14
"1/28/2014 23",8
"1/28/2014 4",1
"1/28/2014 5",10
"1/28/2014 6",29
"1/28/2014 7",64
"1/28/2014 8",154
"1/28/2014 9",107
"1/28/2015 0",5
"1/28/2015 1",1
"1/28/2015 10",50
"1/28/2015 11",41
"1/28/2015 12",55
"1/28/2015 13",43
"1/28/2015 14",32
"1/28/2015 15",49
"1/28/2015 16",111
"1/28/2015 17",177
"1/28/2015 18",132
"1/28/2015 19",58
"1/28/2015 20",35
"1/28/2015 21",26
"1/28/2015 22",16
"1/28/2015 23",8
"1/28/2015 4",2
"1/28/2015 5",8
"1/28/2015 6",33
"1/28/2015 7",104
"1/28/2015 8",215
"1/28/2015 9",144
"1/29/2014 1",2
"1/29/2014 10",44
"1/29/2014 11",31
